PassengerId,HomePlanet,CryoSleep,Cabin,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Name
0093_01,0,0,2316,2,27,0,66,1736,0,0,15,2345
0094_01,0,1,2700,2,6,0,219,0,0,0,0,2079
0094_02,0,0,1709,2,33,0,0,0,0,866,0,3759
0095_01,0,0,1660,1,23,0,0,0,1235,0,0,3838
0096_01,0,0,1717,1,30,0,1,0,1585,0,484,2385
0100_01,0,0,2532,2,29,0,0,17,997,0,0,1060
0100_02,0,0,2532,2,1,0,0,0,0,0,0,2568
0104_01,0,0,1736,2,20,0,1,0,0,599,0,87
0106_01,0,1,1750,2,17,0,0,0,0,0,0,3791
0109_01,0,0,1716,2,34,0,0,0,39,1,556,3849
0117_01,0,0,864,1,24,0,0,22,82,0,686,2677
0118_01,0,0,2605,2,29,0,14,869,177,1,0,3903
0121_01,0,0,1749,2,20,0,1037,1,2,0,1576,2283
0124_01,0,1,2682,0,5,0,0,0,0,0,0,2234
0125_01,1,1,227,0,22,0,0,0,0,0,0,3399
0125_02,1,0,227,2,16,0,3966,2872,0,0,2458,1784
0130_01,0,1,2690,0,7,0,0,0,0,0,0,784
0131_01,0,0,1765,0,36,0,0,0,571,36,0,3982
0132_01,2,0,614,0,26,0,46,315,2305,0,97,3597
0135_01,0,0,1764,2,40,0,413,514,1,0,0,3279
0137_01,0,1,2750,2,29,0,0,0,0,0,0,2125
0142_01,2,1,1781,2,2,0,0,0,0,0,0,2947
0142_02,2,0,1781,2,23,0,378,402,0,0,509,3670
0142_03,2,0,1781,2,0,0,0,0,0,0,0,1576
0143_01,1,0,326,0,30,0,0,8853,6108,29,3523,59
0145_01,0,0,1024,2,56,0,0,44,23,723,0,366
0150_01,1,1,236,2,36,0,0,0,0,0,0,2704
0150_02,1,1,236,2,56,0,0,0,0,0,0,4030
0153_01,0,0,1795,2,19,0,32,0,521,0,223,4021
0154_01,0,1,2726,1,39,0,0,0,0,0,0,1191
0155_01,2,0,1804,2,38,0,2,26,148,1213,0,3309
0156_01,2,0,1812,2,29,0,0,0,0,0,0,3909
0157_01,1,0,0,2,35,0,0,463,0,1502,585,1029
0158_01,0,0,1049,0,26,0,832,0,0,21,136,1072
0158_02,0,0,1805,2,31,0,0,0,705,0,0,2908
0159_01,0,0,1813,2,38,0,0,3,0,756,0,3937
0161_01,0,0,1822,0,27,0,219,11,0,0,1172,24
0162_01,2,1,1829,0,30,0,0,0,0,0,0,2469
0166_01,0,0,2777,2,22,0,0,772,0,0,0,1439
0168_01,1,1,440,2,29,0,0,0,0,0,0,3443
0175_01,0,1,2759,2,0,0,0,0,0,0,0,799
0175_02,0,0,2759,0,8,0,0,0,0,0,0,1373
0175_03,0,1,2759,2,3,0,0,0,0,0,0,2380
0175_04,0,1,2759,2,27,0,0,0,0,0,0,1452
0175_05,0,0,2759,2,9,0,0,0,0,0,0,3322
0176_01,0,0,1859,1,29,0,362,15,0,0,450,3431
0180_01,0,0,1868,2,18,0,756,116,0,1,58,3333
0184_01,2,0,1034,2,22,0,197,0,1175,0,0,3005
0185_01,2,0,1840,2,24,0,6,11,1404,0,0,165
0187_01,2,1,1846,0,25,0,0,0,0,0,0,3218
0191_01,0,0,1860,2,36,0,261,0,206,465,0,3933
0194_01,1,1,417,2,14,0,0,0,0,0,0,3367
0194_02,1,1,417,0,24,0,0,0,0,0,0,106
0194_03,1,0,417,0,26,1,0,275,0,4572,163,3097
0204_01,0,0,1885,1,29,0,1669,2,242,155,0,1716
0208_01,0,0,2807,2,40,0,44,0,565,0,18,2571
0209_01,1,0,60,2,36,0,33,439,0,12767,1193,1729
0214_01,1,0,669,2,46,0,717,516,4,2,2439,1702
0214_02,1,0,669,2,42,0,4762,20,0,4,41,1611
0215_01,0,1,2815,2,23,0,0,0,0,0,0,2052
0218_01,0,0,2820,2,19,0,741,12,1,0,0,2096
0226_01,1,0,634,0,25,0,3,3833,8098,1531,0,652
0227_01,0,0,2691,2,22,0,0,0,0,0,0,2353
0228_01,1,1,212,2,35,0,0,0,0,0,0,448
0228_02,1,0,212,0,39,0,0,25273,0,13,1714,4152
0228_03,1,1,212,0,42,0,0,0,0,0,0,220
0228_04,1,0,212,2,35,0,0,1442,0,1813,6439,436
0230_01,0,1,1930,1,29,0,0,0,0,0,0,1032
0230_02,0,0,1930,2,20,0,786,0,0,0,311,3256
0235_01,0,1,2854,2,25,0,0,0,0,0,0,2815
0236_01,2,1,1950,2,36,0,0,0,0,0,0,3104
0238_01,2,0,633,2,39,0,2556,0,22,0,0,3472
0247_01,1,1,645,0,23,0,0,0,0,0,0,3223
0247_02,1,1,645,0,19,0,0,0,0,0,0,484
0249_01,0,0,2861,2,50,0,0,0,78,751,78,2516
0256_01,0,0,1922,1,41,0,0,0,728,0,0,2303
0259_01,2,0,1976,0,19,0,1,0,2839,85,0,1544
0262_01,0,0,2847,2,20,0,186,0,0,602,100,557
0264_01,1,1,220,0,19,0,0,0,0,0,0,1845
0264_02,1,1,220,2,38,0,0,0,0,0,0,2972
0264_03,1,0,220,0,32,0,1340,439,0,8517,1256,1114
0266_01,2,0,668,2,44,0,696,0,462,46,94,887
0266_02,2,0,1991,2,18,0,1542,0,138,0,0,3006
0268_01,2,0,1996,2,49,0,108,0,41,1560,0,1957
0268_02,2,0,674,0,23,0,3186,0,0,2,0,2432
0271_01,0,0,2883,2,31,0,41,334,1,62,484,2131
0272_01,2,0,464,2,55,0,1054,0,2,0,1,1727
0273_01,2,0,2012,2,60,0,60,0,7022,0,0,4000
0273_02,2,1,2012,2,20,0,0,0,0,0,0,3891
0273_03,2,0,682,2,34,0,301,0,79,919,0,338
0274_01,2,0,701,2,14,0,123,0,0,1936,22,1513
0274_02,2,1,701,2,26,0,0,439,0,0,311,490
0276_01,1,0,228,0,19,0,0,86,0,368,4055,2962
0276_02,1,1,228,2,25,0,0,0,0,0,0,4153
0279_01,0,0,2031,0,42,0,98,10,0,613,0,368
0280_01,0,0,1962,2,18,0,212,678,12,0,0,291
0284_01,2,0,691,2,50,0,0,0,1299,0,0,815
0292_01,0,0,1981,2,26,0,0,439,0,1079,281,2130
0293_01,1,1,2691,2,47,0,0,0,0,0,0,3733
0295_01,0,0,2066,1,35,0,219,627,0,44,0,1771
0296_01,2,0,1992,0,58,0,73,0,422,978,0,2330
0299_01,0,0,1997,0,20,0,376,0,242,1,0,1107
0300_01,1,0,469,2,28,0,5,11549,132,4966,524,2579
0308_01,0,1,2906,1,12,0,219,0,0,0,0,557
0311_01,0,0,700,0,20,0,219,0,0,10,0,961
0312_01,0,1,2919,2,22,0,0,0,0,0,0,33
0317_01,0,0,2876,2,31,0,0,34,81,0,608,3074
0318_01,0,1,2942,1,24,0,0,0,0,0,0,3320
0319_01,2,0,707,2,17,0,1031,0,1026,42,0,3196
0319_02,2,1,2092,0,29,0,0,0,0,0,0,3086
0323_01,0,1,2691,0,18,0,0,0,0,0,0,2188
0325_01,0,0,2952,2,48,0,219,755,0,0,0,3465
0328_01,0,0,2106,2,38,0,3,1252,1,0,0,3970
0329_01,1,1,83,0,33,0,0,0,0,0,0,2005
0332_01,0,1,2957,2,20,0,0,0,0,0,0,3509
0335_01,2,0,721,2,22,0,0,0,0,0,0,3297
0339_01,0,0,2136,2,52,0,356,34,288,0,124,146
0339_02,0,0,2136,0,15,0,638,0,7,0,0,63
0339_03,0,0,2136,2,25,0,10,2,755,0,9,2321
0339_04,0,1,2964,0,14,0,0,0,0,0,0,3521
0339_05,0,1,2964,0,29,0,0,0,0,0,0,1068
0339_06,0,0,2136,2,16,0,1395,0,0,21,522,4019
0339_07,0,0,2964,2,48,0,1,0,259,308,450,557
0339_08,0,0,2136,2,36,0,0,69,0,0,796,3490
0342_01,0,0,713,1,19,0,0,74,610,0,311,3761
0342_02,0,1,2979,1,43,0,0,0,0,0,0,597
0344_01,1,1,447,2,32,0,0,0,0,0,0,4163
0344_02,1,0,447,0,54,0,0,8,4391,4882,7,557
0349_01,1,0,22,2,33,0,0,1030,0,3490,5832,2717
0349_02,1,1,22,2,21,0,0,0,0,0,0,2225
0349_03,1,0,22,2,33,0,23,0,737,493,1373,2777
0349_04,1,1,22,0,28,0,0,0,0,0,0,74
0349_05,1,0,22,2,23,0,0,1468,0,704,1193,792
0349_06,1,0,22,2,26,0,8,67,0,393,1975,1236
0351_01,2,1,2151,2,41,0,0,0,0,0,0,2565
0353_01,0,1,3001,2,2,0,219,0,0,0,0,364
0353_02,0,1,3001,1,21,0,0,0,0,0,0,1100
0354_01,0,0,2164,1,70,0,130,0,1247,0,3,1839
0362_01,0,0,2169,2,20,0,0,1704,3,0,0,1267
0363_01,0,0,735,2,31,0,273,722,1,0,0,1193
0363_02,0,0,735,2,8,0,0,0,0,0,311,2315
0363_03,0,1,735,2,5,0,0,0,0,0,0,2094
0364_01,2,0,2180,2,45,0,288,0,932,4,0,895
0364_02,2,0,2691,2,37,0,731,0,517,50,0,245
0366_01,0,1,2943,2,24,0,0,0,0,0,0,557
0367_01,1,0,470,0,55,0,0,538,0,6,5288,2774
0374_01,0,0,2214,2,18,0,0,251,177,0,553,1835
0374_02,0,0,2691,2,36,0,6,0,0,783,0,3694
0386_01,2,0,477,2,59,0,1678,439,0,0,0,1171
0390_01,0,1,3037,2,61,0,0,0,0,0,0,263
0393_01,0,0,2980,0,46,0,4908,1,3,1,14,1108
0394_01,2,0,2222,2,29,0,87,1192,67,0,3,3466
0399_01,0,1,3044,2,18,0,0,0,0,0,0,3237
0400_01,1,1,260,2,20,0,0,0,0,0,0,443
0404_01,2,0,2230,2,28,0,4,0,2219,0,0,3873
0406_01,0,0,2100,2,26,0,708,183,10,0,0,3373
0414_01,0,0,2268,2,32,0,642,0,759,332,1444,468
0416_01,0,0,746,2,18,0,658,0,0,0,5,2453
0418_01,0,0,2273,2,50,0,1,0,0,736,0,3409
0419_01,0,0,3061,2,47,0,239,75,487,7,0,2460
0419_02,0,1,3061,1,15,0,0,0,0,0,0,557
0419_03,0,1,3061,2,35,0,0,0,0,0,0,1422
0420_01,0,0,2282,2,49,0,189,439,0,882,0,3474
0421_01,1,0,273,0,32,0,0,2116,6252,0,81,1318
0422_01,0,0,3002,2,63,0,4,6,0,303,835,1352
0424_01,2,0,2122,2,54,0,129,0,441,1028,0,1545
0426_01,0,0,2131,2,21,0,128,0,20,628,0,656
0440_01,2,0,490,2,38,0,1030,1347,197,3,0,3662
0443_01,2,0,754,2,50,0,0,0,0,0,0,506
0450_01,0,0,2185,1,32,0,1,0,858,0,689,610
0451_01,1,1,308,0,33,0,0,0,0,0,0,1389
0455_01,1,0,505,2,30,0,0,870,67,1,461,4121
0464_01,0,1,3045,2,28,0,0,0,0,0,311,1243
0467_01,2,1,513,2,22,0,0,0,0,0,0,1697
0467_02,2,1,513,2,29,0,0,0,0,0,311,893
0467_03,2,1,513,0,37,0,0,0,0,0,0,1012
0467_04,2,0,513,2,59,0,53,0,2736,0,0,879
0469_01,1,0,314,2,31,0,0,2522,0,0,2756,4144
0473_01,0,0,1068,2,25,0,246,0,541,0,16,3200
0478_01,1,0,290,2,38,0,8,147,0,7668,46,1654
0478_02,1,1,290,0,37,0,0,0,0,0,0,75
0479_01,1,1,94,0,44,0,0,0,0,0,0,2709
0483_01,1,1,520,2,28,0,0,0,0,0,0,741
0483_02,1,0,520,2,45,0,0,0,0,0,0,57
0484_01,2,1,1086,0,53,0,0,0,0,0,0,1335
0486_01,0,0,3098,0,21,0,0,0,687,0,21,4013
0489_01,2,1,800,2,33,0,0,0,0,0,0,1482
0489_02,2,1,1099,2,18,0,0,0,0,0,0,3299
0491_01,0,0,1106,1,37,0,219,0,1022,15,0,2392
0492_01,2,0,514,2,34,0,648,0,371,38,0,1282
0493_01,0,1,3080,2,46,0,0,0,0,0,0,557
0494_01,1,1,293,0,18,0,0,0,0,0,0,2794
0494_02,1,0,293,2,19,0,1,1378,63,163,659,4078
0495_01,0,1,3085,2,4,0,0,0,0,0,0,2913
0495_02,0,1,3085,2,0,0,0,0,0,0,0,2816
0495_03,0,1,3085,2,12,0,0,0,0,0,0,1450
0495_04,0,0,3085,2,7,0,0,0,0,0,0,633
0495_05,0,0,3085,2,34,0,1729,17,0,303,1298,1364
0495_06,0,0,3085,2,10,0,0,0,0,0,0,2594
0496_01,0,0,3110,0,0,0,219,0,0,0,0,517
0496_02,0,1,3110,1,14,0,0,0,0,0,0,1969
0497_01,2,1,1114,2,27,0,0,0,0,0,0,2837
0505_01,0,0,1120,2,21,0,15,345,18,486,0,3021
0508_01,1,0,534,0,37,0,4105,2081,1,118,446,1333
0509_01,0,1,2691,2,29,0,0,0,0,0,0,94
0511_01,0,0,3102,2,17,0,441,0,131,315,5,2078
0514_01,0,1,3123,2,17,0,0,0,0,0,0,1412
0524_01,1,0,3261,2,35,0,0,6442,672,238,60,3682
0526_01,0,1,3133,2,34,0,0,0,0,0,0,1374
0530_01,1,0,126,2,17,0,760,752,0,16,2471,2118
0530_02,1,0,126,0,39,0,0,547,0,1121,4641,1617
0530_03,1,1,126,0,56,0,0,0,0,0,0,3920
0532_01,1,0,133,0,35,0,3424,20,0,442,1130,3151
0532_02,1,1,133,2,17,0,0,0,0,0,0,3224
0535_01,0,0,822,1,29,0,0,0,288,395,0,32
0536_01,2,0,2274,2,15,0,4922,0,2427,0,0,3083
0536_02,2,0,829,2,37,0,1063,133,99,2,0,606
0541_01,1,1,142,2,36,0,0,0,0,0,0,2037
0543_01,0,1,3162,2,36,0,0,0,0,0,0,4141
0544_01,1,0,327,2,18,0,4,9352,0,10,46,2418
0554_01,2,0,1148,2,61,0,2221,0,0,1,0,840
0557_01,2,1,1154,2,45,0,0,0,0,0,0,715
0557_02,2,1,1154,2,21,0,0,0,0,0,0,2591
0558_01,0,0,1059,2,65,0,0,804,0,0,0,2207
0562_01,2,0,1087,2,27,0,286,0,1023,0,0,473
0562_02,2,1,1087,2,13,0,0,0,0,0,0,3479
0574_01,2,0,2691,2,32,0,2543,1,55,0,0,2688
0578_01,0,1,3156,2,17,0,0,0,0,0,0,1184
0578_02,0,0,3156,2,44,0,0,0,0,0,0,2871
0584_01,0,1,3181,2,21,0,0,0,0,0,0,837
0584_02,0,0,1194,2,16,0,0,379,0,2488,1,773
0592_01,0,0,1214,2,41,0,0,1032,0,0,32,2192
0595_01,0,1,3182,2,40,0,0,0,0,0,0,3358
0601_01,0,0,3207,2,16,0,0,492,0,0,0,1718
0604_01,0,0,1248,2,17,0,0,24,673,0,0,2478
0605_01,0,0,1135,2,40,0,5,0,3,447,424,666
0606_01,0,1,3212,1,37,0,0,0,0,0,0,1370
0613_01,1,1,163,2,53,0,0,0,0,0,0,434
0613_02,1,1,163,2,42,0,0,0,0,0,0,3763
0616_01,0,0,866,2,31,0,0,428,177,1154,1025,355
0617_01,2,0,1276,2,18,0,1644,430,158,0,0,880
0620_01,2,0,1293,2,51,1,755,6,284,102,311,135
0620_02,2,0,1293,2,20,0,0,0,1281,8,0,1562
0620_03,2,0,1293,0,19,0,0,0,1435,15,0,1641
0621_01,0,0,877,2,22,0,499,46,174,61,7,722
0622_01,1,0,168,0,41,0,0,1528,11,10243,17,197
0624_01,1,0,885,2,28,0,0,1048,1469,0,22,3577
0625_01,2,1,1141,0,0,0,0,0,0,0,0,3896
0625_02,2,1,1141,2,42,0,0,0,0,0,0,557
0625_03,2,1,1141,0,20,0,0,0,0,0,0,1527
0626_01,1,1,149,0,25,0,0,0,0,0,0,219
0626_02,1,1,149,2,22,0,0,0,0,0,0,1251
0626_03,1,0,544,2,25,1,30,5718,0,0,1385,396
0627_01,2,0,550,2,45,0,0,0,1057,0,0,3087
0632_01,0,0,1308,2,19,0,0,77,0,532,256,1984
0632_02,0,0,849,1,16,0,72,4,1456,303,0,2448
0632_03,0,1,3241,2,18,0,0,0,0,0,0,3741
0640_01,1,1,575,2,38,0,0,0,0,0,0,3644
0640_02,1,1,575,0,27,0,0,0,0,0,0,3863
0648_01,2,0,585,0,36,0,748,0,222,0,0,3062
0648_02,2,0,585,2,21,0,1045,90,1110,333,0,3112
0649_01,0,0,3253,2,1,0,0,0,0,0,0,277
0651_01,1,1,595,2,25,0,0,0,0,0,0,3752
0652_01,0,1,3232,1,3,0,0,0,0,0,0,2895
0652_02,0,0,3232,2,7,0,0,0,0,0,0,2599
0652_03,0,0,3232,2,0,0,0,0,0,0,0,249
0652_04,0,0,1174,2,32,0,632,0,0,2,0,2596
0652_05,0,0,3232,0,5,0,0,0,0,0,0,1283
0654_01,0,0,2317,2,79,0,0,0,881,7,0,3697
0662_01,0,0,1351,2,19,0,0,0,691,0,57,2611
0666_01,0,1,2318,2,30,0,0,0,0,0,311,4099
0666_02,0,0,1195,2,13,0,1,875,0,0,0,4062
0667_01,2,0,598,2,53,0,596,0,1608,505,0,1435
0670_01,2,0,865,2,40,0,710,379,264,0,5,935
0670_02,2,0,865,2,32,0,1279,0,20,0,0,3659
0673_01,0,1,2341,0,31,0,0,439,0,0,0,2090
0675_01,0,0,918,2,63,0,13,1415,0,170,21,3948
0676_01,2,0,1203,2,18,0,219,0,54,0,0,557
0681_01,0,1,2359,2,21,0,0,0,0,0,0,3593
0692_01,0,0,1227,2,14,0,9,0,1790,8,31,171
0694_01,0,1,2348,1,41,0,0,0,0,0,0,3599
0695_01,0,1,2360,0,40,0,0,0,0,0,0,527
0698_01,0,0,1234,2,58,0,0,0,46,755,0,1517
0700_01,0,0,1422,2,22,0,0,65,221,5,304,1582
0706_01,0,1,2373,0,13,0,0,0,0,0,0,3360
0708_01,1,1,183,2,16,0,0,0,0,0,0,1162
0708_02,1,1,183,0,13,0,0,0,0,0,0,2218
0711_01,2,0,1256,2,15,0,1344,0,1020,0,1,4022
0716_01,2,0,950,2,42,0,466,0,583,0,0,637
0717_01,1,1,193,2,24,0,0,0,0,0,0,2121
0717_02,1,0,193,0,19,0,0,1502,1,874,437,1245
0717_03,1,1,193,2,29,0,0,0,0,0,0,2917
0717_04,1,1,193,2,29,0,0,0,0,0,0,1869
0717_05,1,0,193,2,15,0,0,437,0,2,4679,1848
0717_06,1,0,193,2,38,0,1,2352,1604,66,2583,1228
0717_07,1,1,193,0,49,0,0,0,0,0,0,486
0720_01,2,1,1266,2,20,0,0,0,0,0,0,892
0720_02,2,0,961,2,29,0,0,0,0,0,0,2351
0720_03,2,0,576,2,19,0,1661,0,350,336,231,3878
0721_01,0,0,1277,2,46,0,17,43,659,40,0,2290
0722_01,2,0,1440,2,21,0,559,725,3,0,0,623
0723_01,0,0,1286,0,29,0,0,0,33,539,0,2555
0725_01,0,1,2387,1,29,0,0,0,0,0,0,2185
0730_01,0,0,1318,2,44,0,14,0,1817,2,171,3547
0731_01,0,0,1326,2,19,0,720,0,7,0,32,3230
0731_02,0,0,1326,2,29,0,60,480,5,0,276,2111
0735_01,2,0,1469,2,25,0,266,98,748,169,6,1860
0739_01,0,0,2691,2,41,0,0,885,0,0,0,4100
0741_01,0,0,1335,0,19,0,219,163,1487,1,223,2556
0742_01,2,0,982,2,33,0,4,153,892,0,0,3637
0742_02,2,1,1343,2,25,0,0,0,0,0,0,1565
0744_01,1,1,164,0,44,0,219,0,0,0,0,438
0745_01,0,0,905,2,21,0,0,0,0,787,1,2152
0747_01,2,0,1493,2,32,0,530,0,1195,11,788,4038
0748_01,2,1,1352,2,33,0,0,0,0,0,0,2991
0748_02,2,0,1352,2,32,0,1705,0,175,434,172,2332
0749_01,2,1,1504,2,19,0,0,0,0,0,0,4085
0751_01,2,1,1368,2,21,0,0,0,177,0,0,3234
0752_01,0,1,2413,2,23,0,0,0,0,0,0,314
0755_01,1,0,605,0,31,0,0,1029,1247,0,52,3533
0758_01,1,0,382,2,22,0,3,2490,0,1197,144,3046
0758_02,1,1,2691,0,74,0,0,0,0,0,0,706
0758_03,1,0,382,2,53,0,472,3,0,1935,2505,474
0759_01,1,1,357,0,40,0,0,0,0,0,0,1871
0759_02,1,0,357,0,23,0,0,4733,0,1412,4419,1720
0759_03,1,1,357,2,36,0,0,0,0,0,0,408
0760_01,0,0,1513,2,18,0,178,0,11,478,0,3122
0763_01,1,1,391,2,29,0,0,0,0,0,0,261
0763_02,1,0,391,2,48,0,1,14,2,3717,0,2765
0766_01,2,1,988,2,34,0,0,0,0,0,0,4017
0774_01,1,0,368,2,34,0,0,3410,0,0,1456,3762
0774_02,1,0,201,0,27,0,0,1288,0,1342,3506,3378
0774_03,1,0,201,2,44,0,0,0,0,0,0,1735
0775_01,1,0,400,2,0,0,0,0,0,0,0,2853
0775_02,1,1,400,2,1,0,0,0,0,0,0,211
0775_03,1,1,400,2,18,0,0,0,0,0,0,3675
0775_04,1,0,400,2,23,0,0,1857,1,386,15940,1750
0775_05,1,0,400,2,26,0,0,3326,3,621,51,2328
0775_06,1,1,400,0,46,0,0,0,0,0,0,1431
0778_01,1,1,404,2,41,0,0,0,0,0,0,3614
0778_02,1,0,404,0,25,0,0,1641,20,1663,10,485
0780_01,2,1,586,2,50,0,0,0,0,303,0,3306
0783_01,0,0,1541,2,28,0,2,372,0,0,506,2097
0792_01,0,1,2429,1,17,0,0,0,0,0,0,1310
0800_01,1,0,412,0,29,1,149,1704,0,7402,14,3707
0801_01,2,1,1563,2,19,0,0,0,0,0,0,2437
0803_01,0,0,2444,0,34,0,0,0,0,0,0,1361
0804_01,1,1,375,0,28,0,0,0,0,0,0,791
0807_01,2,0,1436,2,47,0,3682,3636,177,83,311,2768
0810_01,2,0,1572,2,28,0,830,0,278,3,2,3639
0812_01,2,1,1009,2,38,0,0,439,0,0,0,3004
0814_01,2,0,1456,2,22,1,2227,324,47,303,0,1987
0821_01,2,0,1470,0,18,0,0,0,0,0,0,899
0827_01,1,0,40,2,21,0,0,2673,0,1678,30,1385
0827_02,1,0,40,2,40,0,0,0,0,0,0,2535
0827_03,1,1,40,0,67,0,0,0,0,0,0,3061
0831_01,0,0,1599,1,39,0,182,148,35,23,277,1892
0832_01,0,1,2477,1,19,0,0,0,0,0,0,1146
0837_01,1,1,607,2,28,0,0,0,0,0,0,3645
0837_02,1,0,607,0,29,0,0,699,377,3858,6,4154
0838_01,2,1,914,2,22,0,0,0,0,0,0,1533
0838_02,2,0,609,2,23,0,2577,0,0,0,2,825
0841_01,0,0,1616,1,41,0,0,171,80,2393,4,3053
0842_01,2,1,917,2,25,0,0,0,0,0,0,3011
0843_01,0,1,2491,1,43,0,0,0,0,0,0,1921
0844_01,2,1,1026,2,54,0,0,0,0,0,0,698
0847_01,0,0,1518,2,14,0,698,0,0,1,0,809
0852_01,1,1,599,2,69,0,0,0,0,0,0,386
0854_01,0,1,2505,1,24,0,0,439,0,0,0,224
0855_01,1,0,202,2,37,0,0,0,0,0,0,440
0856_01,0,0,1640,2,28,0,869,0,2,0,0,3278
0857_01,1,0,205,0,59,0,0,2935,529,21,462,983
0858_01,2,0,610,2,20,0,2024,0,269,13,0,1020
0858_02,2,1,1646,2,23,0,0,0,0,0,311,1929
0861_01,0,0,2518,2,59,0,0,0,0,0,0,3926
0862_01,0,1,2499,2,20,0,0,0,0,0,0,3051
0864_01,2,0,604,2,36,0,3160,0,12,0,311,1541
0864_02,2,1,1527,2,43,0,0,0,0,0,0,1186
0864_03,2,1,1527,2,9,0,0,0,0,0,0,1514
0866_01,2,1,1650,2,32,0,0,0,0,0,0,3143
0872_01,0,0,1027,2,24,0,780,0,0,2,6,2346
0880_01,2,1,941,1,14,0,0,0,0,0,0,2491
0880_02,2,1,941,2,45,0,0,0,0,0,311,4023
0882_01,0,0,2546,2,23,0,299,4958,299,0,93,2539
0884_01,0,0,2517,2,59,0,0,0,0,7,833,1657
0884_02,0,0,2691,2,28,0,0,0,762,0,0,1420
0886_01,2,0,1670,2,61,0,1399,0,693,0,0,3867
0886_02,2,1,1670,2,52,0,0,0,0,0,0,779
0886_03,2,1,1670,2,5,0,0,0,0,0,0,2334
0887_01,1,0,399,2,51,0,0,54,0,22,5915,127
0887_02,1,0,399,2,26,0,61,1124,59,2217,622,557
0888_01,2,0,611,2,44,0,589,0,235,20,31,1726
0888_02,2,0,1672,2,46,0,1246,0,3767,1,0,2818
0891_01,2,0,606,2,32,0,176,0,2851,0,0,2820
0892_01,1,1,415,2,17,0,0,0,0,0,0,3713
0892_02,1,1,415,0,21,0,0,0,0,0,0,1569
0892_03,1,1,415,0,52,0,0,0,177,0,0,348
0894_01,1,1,416,0,52,0,0,0,0,0,0,2120
0895_01,0,0,1679,2,14,0,0,1277,0,241,311,365
0896_01,0,0,1685,2,21,0,0,0,644,303,0,1675
0897_01,1,1,209,0,42,0,0,0,0,0,0,1238
0897_02,1,1,209,2,28,0,0,0,0,0,0,446
0900_01,0,1,2542,1,26,0,0,0,0,0,0,4136
0908_01,0,1,2575,2,7,0,0,0,0,0,0,3809
0909_01,2,0,1578,2,14,0,1793,0,300,0,0,3216
0909_02,2,1,1578,2,3,0,0,0,0,0,0,1523
0909_03,2,1,1578,2,26,0,0,0,0,0,0,737
0914_01,1,0,1028,0,54,0,0,8179,0,2673,6512,3446
0916_01,0,0,2545,2,55,0,0,4,512,365,0,3054
0917_01,2,0,1029,2,16,0,9,0,1162,2,0,337
0920_01,1,0,411,2,38,0,0,6915,0,3243,5218,2122
0929_01,0,0,2617,2,48,0,411,405,31,5,34,2575
0934_01,0,0,2624,0,13,0,483,0,28,375,0,2685
