PassengerId,HomePlanet,CryoSleep,Cabin,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Name,Transported
0056_03,1,0,2,2,27,0,279,605,3374,286,3,8456,1
0058_01,0,1,6108,1,36,0,0,0,0,0,0,8134,0
0061_01,0,0,2482,2,22,0,45,1096,148,1377,1,7040,0
0062_01,0,0,2628,2,62,0,0,592,0,17,25,7298,0
0064_01,2,1,2763,2,15,0,0,0,0,0,0,414,1
0064_02,0,1,1697,2,33,0,0,0,174,0,0,1870,1
0066_01,0,0,5954,2,62,0,1,153,197,0,460,2272,0
0067_01,0,1,4562,1,0,0,0,0,0,0,0,5981,1
0067_02,0,0,4562,2,18,0,1,258,446,0,0,1602,1
0067_03,0,0,2905,0,21,0,1946,37,0,0,24,7991,0
0068_01,2,0,1845,2,29,0,793,0,2,253,0,1793,0
0069_01,0,0,3044,2,42,0,887,0,9,6,0,414,1
0070_01,0,0,2627,2,19,0,190,0,5,1,726,5507,0
0071_01,0,0,2762,2,17,0,16,2165,0,0,52,5916,0
0072_01,0,0,3190,2,14,0,0,1,0,0,1063,7647,0
0073_01,2,0,1303,1,37,0,46,83,738,0,12,3463,0
0074_01,1,0,903,2,42,0,1,8397,0,0,506,202,1
0076_01,2,0,3331,2,27,0,147,0,1018,0,0,1895,1
0077_01,2,0,2904,2,28,0,14,0,1295,0,0,6324,1
0078_01,1,0,950,2,38,0,0,5840,0,321,9654,7200,0
0081_01,0,1,4992,2,13,0,0,0,0,0,0,2200,0
0082_01,2,0,3043,2,42,0,7406,0,0,0,0,7829,0
0082_02,2,1,3043,2,2,0,0,0,0,0,0,2500,1
0082_03,2,0,3043,2,8,0,0,0,0,0,0,414,1
0084_01,0,0,5139,2,24,0,688,0,0,0,17,1935,1
0085_01,1,1,962,2,40,0,0,0,0,0,0,3156,1
0086_01,0,0,3189,2,43,0,211,0,0,638,513,4399,0
0088_01,2,1,1988,1,45,0,0,0,0,0,0,7320,1
0090_01,0,1,5281,2,35,0,0,0,0,0,0,3842,1
0091_01,0,1,5303,2,26,0,225,0,0,0,0,2161,1
0091_02,0,0,3426,2,27,0,1,697,31,188,0,7748,0
0092_01,0,0,6402,2,19,0,0,0,670,1,34,3487,0
0092_02,0,1,6402,2,0,0,0,0,174,0,0,7232,1
0092_03,0,1,6402,2,3,0,0,0,0,0,0,7743,1
0097_01,1,0,24,2,54,0,0,1208,0,3,637,164,0
0098_01,0,0,4710,2,26,0,0,856,5,32,0,2394,0
0098_02,0,0,4710,2,26,0,0,2811,957,0,87,4850,1
0099_01,0,0,3407,1,23,0,311,427,526,37,0,295,0
0099_02,0,0,4848,2,2,0,0,0,0,0,0,7695,1
0101_01,2,1,6156,2,31,0,0,0,0,0,0,1261,1
0102_01,0,0,3471,2,18,0,0,0,0,830,91,6653,0
0103_01,0,0,3485,2,24,0,0,458,0,0,17,725,1
0103_02,0,1,5331,0,9,0,0,0,0,0,0,6989,1
0103_03,0,1,5331,2,6,0,0,0,0,0,0,2975,0
0105_01,0,0,3442,2,27,0,0,0,570,2,131,1545,0
0107_01,2,0,1182,2,21,0,1743,5,17,0,0,1901,0
0108_01,0,1,5348,2,23,0,0,0,0,0,0,5871,0
0108_02,0,0,5348,2,31,0,562,0,326,0,0,414,0
0108_03,0,0,5348,2,0,0,0,0,0,0,0,6068,1
0110_01,1,0,6156,2,32,0,0,410,6,3929,764,3526,0
0110_02,1,0,528,2,40,0,0,331,0,0,1687,185,0
0110_03,1,0,528,2,42,0,2209,11418,0,1868,445,119,1
0110_04,1,1,528,2,28,0,0,0,0,0,0,4124,1
0111_01,1,1,2121,2,29,0,0,0,0,0,0,191,1
0112_01,1,0,151,0,48,1,0,2537,87,17,13,5743,1
0113_01,0,0,3470,2,64,0,0,0,804,0,0,4015,1
0114_01,0,0,5364,2,27,0,82,157,429,238,1,5406,0
0115_01,2,0,3484,2,26,0,0,0,0,0,305,6675,1
0116_01,1,0,1314,2,33,0,1,2223,0,12,404,280,1
0119_01,0,0,0,2,39,0,0,2344,0,65,6898,960,0
0119_02,1,1,0,2,13,0,0,0,0,0,0,4721,1
0120_01,2,1,3500,2,24,0,0,0,0,0,305,1010,1
0122_01,0,0,5377,2,29,0,0,0,0,699,74,7067,0
0123_01,0,0,3523,2,18,0,55,597,49,0,1,4052,0
0126_01,2,1,3524,2,67,0,0,0,0,0,0,5579,1
0127_01,2,0,2141,2,35,0,701,0,296,0,25,5581,0
0128_01,2,0,1304,2,61,1,2353,334,9,316,2,3561,0
0128_02,2,0,2158,2,45,0,2103,6,0,0,0,942,0
0129_01,0,1,5396,1,22,0,0,0,174,0,0,6420,1
0133_01,2,1,3551,2,19,0,0,0,0,0,0,3071,1
0133_02,2,0,1330,2,36,0,2738,0,0,0,0,2554,0
0134_01,0,0,5315,2,19,0,0,14,730,0,0,1445,1
0136_01,0,0,5410,1,47,0,97,418,126,25,55,414,0
0138_01,0,1,5330,2,13,0,0,0,0,0,0,2996,1
0138_02,0,0,1987,2,34,0,0,22,0,564,207,5690,0
0139_01,1,1,979,0,35,0,0,0,0,0,0,1656,1
0140_01,0,1,5347,2,24,0,0,0,0,0,0,2918,1
0140_02,0,0,3550,2,26,0,440,0,0,0,462,8018,0
0141_01,2,0,3566,2,31,0,225,0,97,0,0,6396,0
0144_01,0,0,3579,2,20,0,0,420,210,0,0,3571,1
0146_01,0,0,5432,2,56,0,0,0,0,0,0,8010,0
0147_01,0,1,5448,2,50,0,0,0,0,0,0,6864,1
0148_01,2,0,3578,2,42,0,1072,0,10,0,76,1945,0
0149_01,0,1,5467,0,29,0,0,0,0,0,0,1169,1
0151_01,0,1,5363,0,38,0,0,0,0,0,0,7033,0
0152_01,0,0,3594,2,41,0,0,0,0,0,607,537,0
0160_01,0,0,5395,2,22,0,4119,0,0,0,61,3470,0
0163_01,1,1,567,2,26,0,0,0,0,0,0,4542,1
0163_02,1,1,567,2,17,0,0,0,0,0,0,6933,1
0164_01,0,0,5485,2,57,0,50,1688,0,311,135,2980,1
0164_02,0,1,5485,1,17,0,0,0,0,0,0,3989,0
0165_01,2,1,3657,2,35,0,0,0,0,0,0,3520,1
0167_01,2,1,3632,2,13,0,0,0,0,0,0,5661,1
0167_02,2,0,3632,2,27,0,1365,0,48,22,137,6640,0
0169_01,0,1,5409,2,31,0,0,0,0,0,0,8122,0
0170_01,0,0,1410,2,24,0,0,0,0,221,567,5683,0
0171_01,0,1,5515,1,19,0,0,0,0,0,0,1910,1
0172_01,0,1,5419,2,32,0,0,0,0,0,0,3696,1
0173_01,0,0,1425,2,58,0,0,985,0,5,0,3885,1
0174_01,0,0,3673,0,21,0,287,0,16,115,175,2415,0
0177_01,1,0,308,2,38,0,0,10346,1,14970,2111,7804,0
0178_01,2,0,1345,2,38,0,3414,0,161,28,119,8175,0
0179_01,0,0,5447,2,19,0,1,219,673,2,11,2590,1
0179_02,0,0,5447,2,0,0,0,0,0,0,0,6515,0
0179_03,0,0,5447,2,3,0,0,0,0,0,0,6850,1
0181_01,0,0,5466,2,20,0,0,0,3,299,92,5837,0
0182_01,1,1,902,2,24,0,0,0,0,0,0,4773,1
0183_01,0,0,3646,2,37,0,17,146,426,0,232,7249,1
0186_01,0,0,5484,2,25,0,62,0,0,0,956,1437,0
0188_01,0,1,5530,2,56,0,0,0,0,0,0,1321,1
0189_01,0,0,2157,0,49,0,84,3,401,202,98,3816,0
0190_01,0,1,5545,0,11,0,0,0,0,0,0,414,0
0192_01,0,1,5498,2,1,0,0,0,0,0,0,7462,1
0192_02,0,0,5498,2,8,0,0,0,0,0,0,6667,0
0192_03,0,0,5498,2,39,0,0,0,10,898,0,4972,0
0193_01,2,1,3707,2,2,0,0,0,0,0,0,7194,1
0193_02,2,0,3707,2,23,0,225,0,8,1072,0,3133,0
0193_03,2,0,3707,2,0,0,0,0,0,0,0,3419,1
0195_01,2,0,3728,2,39,0,406,0,867,0,0,934,1
0196_01,2,0,1329,1,25,0,1052,0,719,0,7,1476,0
0197_01,1,0,961,2,36,0,0,972,0,795,575,828,0
0198_01,0,0,5514,1,52,0,0,0,0,0,0,4288,1
0199_01,0,1,5558,2,18,0,0,0,0,0,0,6550,0
0200_01,0,1,5529,2,15,0,0,0,0,0,0,2648,1
0201_01,1,1,462,2,35,0,0,0,0,0,0,4549,1
0201_02,1,1,462,2,47,0,0,0,0,0,0,2524,1
0202_01,1,1,583,0,45,0,0,0,0,0,0,6322,1
0202_02,1,0,23,0,29,0,0,2433,174,878,443,7988,1
0203_01,1,1,1006,2,51,0,0,0,0,0,0,517,1
0205_01,0,0,5570,2,29,0,0,2,66,0,705,1533,0
0206_01,1,0,1022,0,29,0,2,1720,12,1125,122,6013,1
0207_01,0,1,5544,1,19,0,0,0,0,0,0,7704,0
0210_01,0,1,1344,0,24,0,0,0,174,0,0,752,1
0211_01,2,0,3762,2,29,0,902,1,137,0,0,6179,1
0211_02,2,1,3762,2,11,0,0,0,0,0,0,1943,1
0211_03,2,0,3762,2,17,0,848,0,307,182,0,6268,0
0212_01,0,0,2169,2,13,0,192,0,0,51,739,4031,0
0212_02,0,0,3775,2,35,0,147,188,0,10,387,7014,0
0213_01,0,0,3789,2,21,0,367,281,0,0,146,1502,0
0216_01,0,0,3697,0,21,0,0,56,0,0,1918,6958,0
0217_01,0,0,3805,2,38,0,1517,0,0,27,0,6365,0
0219_01,0,1,5600,2,19,0,0,0,0,0,0,5960,1
0220_01,0,1,5615,2,2,0,0,0,0,0,0,7903,1
0220_02,0,0,5615,2,0,0,0,0,0,0,0,8223,1
0220_03,0,1,5615,2,13,0,0,0,0,0,0,1302,0
0220_04,0,0,1409,2,25,0,122,84,174,0,0,2366,0
0220_05,0,0,3818,2,16,0,0,3,0,0,1099,7995,0
0220_06,0,0,5615,0,1,0,0,0,0,0,0,8229,0
0220_07,0,1,5615,2,15,0,0,0,0,0,0,3606,1
0221_01,2,0,1454,0,21,0,2237,0,119,0,0,1956,0
0221_02,2,0,1454,2,23,0,1215,80,1,2,0,8385,0
0221_03,2,0,1454,2,33,0,1933,12,188,1,0,4153,0
0221_04,2,1,1454,2,21,0,0,0,0,0,0,2547,1
0221_05,2,0,1454,2,41,0,1230,0,301,43,1023,6115,0
0221_06,2,0,1454,2,16,0,915,0,221,234,0,3508,0
0221_07,2,1,1454,2,42,0,0,0,0,0,0,6676,0
0222_01,2,0,3708,2,20,0,1406,0,0,11,0,3431,0
0222_02,2,1,3708,2,24,0,0,0,0,0,0,1882,1
0222_03,2,1,1468,2,16,0,0,0,0,0,0,3500,1
0223_01,0,0,5586,2,21,0,0,2,665,0,9,2923,0
0224_01,2,0,3729,2,32,1,181,0,5,1634,0,1220,0
0225_01,0,1,5630,1,58,0,0,0,0,0,0,1526,1
0229_01,0,0,3746,2,24,0,4,7,0,713,79,2358,0
0231_01,2,0,3763,2,30,0,85,0,1,1720,0,4770,0
0232_01,0,1,5601,1,27,0,0,458,0,0,0,5958,0
0233_01,2,0,3776,2,32,0,56,0,256,1438,0,7541,0
0234_01,0,0,3845,2,43,0,225,888,0,0,0,4642,0
0237_01,1,1,166,2,42,0,0,0,0,0,0,8188,1
0239_01,2,0,6156,2,37,0,637,0,0,92,319,2298,0
0240_01,2,1,3872,2,35,0,0,0,0,0,0,6389,1
0241_01,1,0,1424,0,33,0,0,1249,0,4812,1116,132,0
0242_01,0,0,3790,2,18,0,313,1,691,283,0,377,0
0243_01,0,1,5616,2,21,0,0,0,0,0,0,4974,0
0244_01,2,1,6156,2,43,0,0,0,0,0,0,3138,1
0244_02,2,1,3806,0,14,0,0,0,0,0,0,7832,1
0245_01,1,0,978,0,46,0,0,3571,0,0,7,3397,1
0245_02,1,0,978,2,33,0,0,86,796,584,10912,520,0
0246_01,2,0,1377,2,21,0,2947,0,287,27,0,5456,0
0248_01,1,0,599,2,33,0,0,1,0,8620,1063,3260,0
0250_01,0,1,5631,1,47,0,225,0,0,0,0,1440,0
0251_01,0,1,613,0,54,0,0,0,0,0,0,2310,1
0252_01,0,0,3888,2,30,0,335,695,541,0,0,4859,0
0253_01,0,0,5686,2,29,0,272,615,0,0,1,2139,0
0254_01,0,0,3903,2,21,0,702,172,408,2,6,6424,1
0255_01,1,1,44,2,24,0,0,0,0,0,0,792,1
0257_01,2,0,3832,0,21,0,1664,0,174,0,0,2876,0
0257_02,2,1,3832,2,60,0,0,0,0,0,0,7207,1
0258_01,0,0,3846,2,22,0,0,0,313,299,92,3038,0
0260_01,1,0,1497,2,26,0,0,4810,0,981,2054,6967,0
0261_01,0,0,3932,2,26,0,66,29,0,0,803,2382,0
0263_01,0,1,5702,2,28,0,0,0,0,0,0,5247,1
0265_01,1,1,1378,2,39,0,0,0,0,311,0,2894,1
0267_01,0,0,3858,2,13,0,118,0,0,754,1,4979,0
0269_01,0,0,3873,0,47,0,0,231,592,0,0,4914,1
0270_01,0,0,3973,2,63,0,0,25,128,0,1240,1584,0
0275_01,1,1,1392,0,29,0,0,0,0,0,0,7566,1
0277_01,0,0,4003,0,50,0,44,2390,0,53,0,1405,1
0278_01,0,0,6156,2,35,0,0,0,0,888,305,4503,0
0278_02,0,0,5731,2,45,0,0,97,0,14,333,5320,0
0281_01,0,0,4026,2,19,0,0,0,2078,0,0,2234,1
0282_01,0,0,3904,2,21,0,0,918,0,0,0,7939,1
0283_01,0,1,5748,1,29,0,0,0,0,0,0,4160,1
0283_02,0,0,4040,2,22,0,146,654,1,0,2,6743,1
0285_01,1,1,1496,2,14,0,0,0,0,0,0,4751,1
0285_02,1,1,1496,0,42,0,0,0,0,0,0,3512,1
0286_01,0,0,4055,0,57,0,3,1281,29,162,13,1500,0
0287_01,1,1,6156,0,39,0,0,0,0,0,0,7616,1
0287_02,1,0,184,2,28,0,0,587,32,6,1460,139,0
0288_01,0,0,3917,0,19,0,0,0,0,0,828,3472,0
0289_01,1,1,630,0,19,0,0,0,0,0,0,3166,1
0290_01,1,0,556,0,26,0,0,4458,0,1157,262,7112,1
0290_02,1,1,556,2,17,0,0,0,0,0,0,260,1
0290_03,1,0,556,2,43,0,0,0,0,0,0,2253,1
0290_04,1,0,556,0,9,0,0,0,0,0,0,834,1
0291_01,1,0,1037,2,40,0,0,6500,88,1090,0,1569,1
0294_01,1,1,568,2,50,0,0,0,0,311,0,6263,1
0297_01,0,0,5763,2,24,0,90,2,1324,17,0,2857,1
0298_01,1,1,43,0,57,0,0,0,0,0,0,797,1
0301_01,0,1,6156,2,16,0,0,0,0,0,0,5314,0
0302_01,0,0,4080,2,23,0,0,0,15,0,1370,4932,0
0303_01,0,1,5674,2,23,0,0,0,0,0,0,6085,1
0304_01,1,0,1526,2,28,0,0,422,0,1851,5166,1122,0
0305_01,1,0,991,0,23,0,0,584,0,20,2469,7355,0
0306_01,0,0,1542,2,23,0,368,175,259,1,101,2372,0
0307_01,0,0,3974,2,18,0,0,0,1359,0,0,5873,1
0309_01,0,0,3990,2,18,0,1194,0,157,6,0,1167,0
0310_01,1,0,6156,2,67,0,225,230,0,4476,241,5890,0
0313_01,0,0,4093,1,60,0,7,540,1,0,4,1379,1
0313_02,0,1,5799,0,29,0,0,0,174,0,0,4424,1
0313_03,0,0,4093,0,49,0,331,0,0,318,0,4172,1
0313_04,0,0,5799,0,0,0,0,0,0,0,0,3741,1
0314_01,0,0,5817,0,26,0,386,0,74,0,1330,4651,0
0315_01,0,1,5687,1,35,0,0,0,0,0,0,81,1
0316_01,1,0,584,2,24,0,0,2628,174,170,0,3663,1
0316_02,1,1,584,2,20,0,0,0,0,0,305,1046,1
0320_01,0,0,5717,2,18,0,0,2,0,311,0,1338,0
0320_02,0,0,5717,2,21,0,0,5,3,0,305,3203,0
0321_01,0,0,4004,2,59,1,1018,0,209,0,0,6416,0
0322_01,0,1,5732,1,13,0,0,0,0,0,0,626,0
0324_01,0,1,5847,0,43,0,0,0,0,0,0,1532,0
0326_01,0,1,5764,2,29,0,0,0,0,0,0,1666,0
0327_01,0,0,6156,2,19,0,17,0,784,0,2,4213,1
0330_01,1,0,655,2,2,0,0,0,0,0,0,1025,1
0330_02,1,0,655,2,32,0,247,4651,0,46,202,414,1
0330_03,1,0,655,2,33,0,443,317,0,148,1260,3795,0
0331_01,0,0,4152,2,25,0,0,0,251,0,552,4950,0
0333_01,2,1,4164,0,29,0,0,0,0,0,0,6260,1
0334_01,2,0,4014,2,29,0,5715,2,211,1476,0,7930,0
0336_01,0,0,4177,2,44,0,695,1,16,0,0,5408,0
0337_01,2,1,4027,0,2,0,0,0,0,0,0,3579,1
0337_02,2,0,4027,2,19,0,417,349,634,3,1057,8246,1
0337_03,2,0,4027,0,0,0,0,0,0,0,0,414,1
0338_01,0,1,5781,2,18,0,0,0,174,0,0,4062,1
0340_01,1,1,152,0,38,0,0,0,0,0,0,6206,1
0341_01,0,1,5912,1,5,0,0,0,0,0,0,5101,0
0343_01,0,0,4207,1,31,0,121,0,0,274,907,5509,0
0345_01,2,1,1571,2,30,0,0,0,0,0,0,1092,0
0346_01,0,1,5941,0,15,0,0,0,0,0,0,5206,1
0347_01,2,0,4041,2,27,0,434,0,1434,0,0,1952,0
0348_01,2,0,1066,2,22,0,142,2876,202,3,0,7333,1
0348_02,2,0,6156,2,36,0,520,0,1865,0,0,8179,1
0350_01,0,1,5956,1,14,0,0,0,0,0,0,5080,1
0352_01,2,0,4236,2,23,0,2001,0,2975,0,0,3906,0
0355_01,0,1,6156,2,18,0,0,0,0,0,0,7860,1
0356_01,1,1,231,0,36,0,0,0,0,0,0,6225,1
0357_01,0,0,4056,2,41,0,225,1198,0,124,572,2542,0
0358_01,0,1,5800,2,50,0,0,0,0,0,0,6694,1
0358_02,0,1,5800,1,32,0,0,0,0,0,0,2086,1
0359_01,0,0,4066,1,26,0,148,0,453,0,88,1603,0
0360_01,0,0,4081,2,15,0,358,212,33,0,112,2577,0
0361_01,0,0,4094,0,33,0,0,36,0,280,417,8054,1
0365_01,0,0,5818,0,29,0,0,0,0,685,21,2073,0
0368_01,2,0,4298,2,26,0,2832,107,4447,15,4,6583,0
0368_02,2,1,4298,2,61,0,0,0,0,0,0,968,1
0369_01,0,0,5848,2,24,0,0,0,592,177,58,8021,1
0370_01,0,0,4308,2,30,0,0,95,0,441,1023,7739,0
0371_01,2,1,4322,2,24,0,0,0,0,0,0,1752,1
0372_01,0,0,4335,2,24,0,0,5,0,2766,0,414,0
0373_01,0,1,5987,2,41,0,0,0,0,0,0,1156,0
0375_01,0,0,1585,2,20,0,0,0,558,0,230,5168,0
0376_01,0,0,5866,2,22,0,116,0,786,6,0,3102,1
0377_01,1,0,674,0,63,0,0,1068,0,176,8188,8264,0
0378_01,1,0,167,0,18,0,17,215,4,5132,697,1298,0
0378_02,1,1,167,0,21,0,0,0,0,0,0,5301,1
0378_03,1,0,167,2,79,0,5649,235,7,2579,2175,5870,0
0378_04,1,1,167,2,56,0,0,0,0,0,0,5777,1
0378_05,1,1,167,2,13,0,0,0,0,0,0,6311,1
0378_06,1,0,167,2,33,0,0,2491,6,1173,1059,7154,0
0378_07,1,1,167,2,32,0,0,0,0,0,0,23,1
0379_01,0,0,5999,2,31,0,198,0,591,0,164,1385,1
0380_01,1,1,6156,0,26,0,0,0,0,0,0,8462,1
0381_01,1,1,246,0,18,0,0,0,0,0,0,5539,1
0381_02,1,1,246,0,38,0,0,0,174,0,0,817,1
0382_01,0,0,6014,2,23,0,348,0,0,4,368,1201,0
0383_01,0,0,5883,2,28,0,82,773,0,3693,140,6242,0
0383_02,0,1,5883,1,34,0,0,0,0,0,0,2929,0
0384_01,0,0,5898,0,0,0,0,0,0,0,0,1845,1
0384_02,0,0,5898,2,14,0,3,0,881,25,0,2697,1
0385_01,0,0,6032,2,23,0,13,747,0,0,128,7471,0
0387_01,0,1,6049,2,49,0,0,0,0,0,0,8000,0
0388_01,0,1,5913,2,14,0,0,0,0,0,0,2973,0
0389_01,0,0,1595,2,18,0,391,44,356,0,0,2586,0
0391_01,1,0,1021,1,27,1,69,5728,0,0,987,2052,1
0392_01,0,0,1609,2,48,0,0,111,0,1508,0,8127,0
0395_01,1,0,262,0,31,1,0,11003,552,8157,5688,5524,0
0395_02,1,0,262,0,61,0,1,608,0,3835,1,3647,0
0396_01,0,1,5942,2,18,0,0,0,0,0,0,1383,1
0397_01,2,1,4105,2,45,0,0,0,0,0,0,3534,1
0398_01,2,0,1084,2,22,0,28,420,36,6011,3,8088,0
0401_01,2,0,1096,2,30,1,1056,0,0,0,0,5150,0
0401_02,2,0,1096,2,30,0,1770,0,0,13,0,6127,0
0402_01,0,1,1114,0,32,1,0,0,0,0,0,7582,1
0403_01,2,0,1083,2,43,1,353,896,0,0,2,6394,1
0405_01,0,0,4393,0,17,0,177,458,0,310,7,2206,0
0407_01,0,0,6094,2,23,0,225,21,0,0,1699,2088,0
0407_02,0,0,4407,2,20,0,0,465,0,5,223,5167,0
0407_03,0,1,6094,2,39,0,0,0,0,0,0,2224,0
0408_01,2,0,1625,2,35,0,1134,113,52,0,0,2045,0
0409_01,2,0,4136,2,31,0,0,0,1116,2,0,5402,0
0410_01,0,0,4153,0,21,0,0,150,0,567,0,7914,0
0411_01,0,0,4422,2,16,0,691,0,101,140,0,1070,0
0412_01,1,0,612,2,60,0,0,7255,5952,1537,0,977,1
0413_01,0,0,4439,2,18,0,0,157,0,352,60,2674,0
0415_01,0,1,5957,2,42,0,0,0,0,0,0,4040,0
0417_01,1,1,277,0,68,0,0,0,0,0,0,4923,1
0417_02,1,0,277,0,22,0,0,1170,0,5467,1241,5642,0
0417_03,1,1,277,2,59,0,0,0,0,0,0,2778,1
0423_01,1,0,293,2,29,0,8,3584,0,13,57,7413,1
0425_01,2,0,4498,2,37,0,1094,2,26,34,1,1217,0
0425_02,2,1,4498,2,3,0,0,0,0,0,0,1961,1
0425_03,2,1,4498,2,31,0,0,0,0,0,0,6545,1
0427_01,1,0,1639,2,31,0,417,458,7185,562,792,259,1
0428_01,1,0,692,2,29,0,0,4118,0,715,3139,1662,1
0429_01,1,0,70,0,20,0,2,10116,0,2,225,95,1
0429_02,1,1,70,0,46,0,0,0,0,0,0,7520,1
0430_01,0,0,4194,2,29,0,0,1026,0,16,0,2650,1
0431_01,2,1,4513,2,43,0,0,0,0,0,0,3132,1
0432_01,2,0,4208,2,17,0,1483,10,0,0,0,1478,0
0433_01,1,0,309,0,27,0,0,0,0,0,0,3788,1
0433_02,1,0,309,2,47,0,4,891,0,2962,3656,5858,0
0434_01,2,1,4223,2,45,0,0,0,0,0,0,6727,1
0435_01,0,1,5988,2,17,0,0,0,0,0,0,339,1
0436_01,0,0,6000,0,10,0,0,0,0,0,0,6848,1
0436_02,0,0,6000,1,56,0,46,11,0,622,0,4975,0
0437_01,0,0,4237,2,39,0,382,0,22,467,0,5200,0
0437_02,0,0,4237,1,40,0,7,0,840,26,0,2174,0
0438_01,1,1,199,2,40,0,225,0,0,0,0,2486,1
0439_01,1,0,644,0,34,0,225,5637,45,1936,56,4123,0
0441_01,0,0,4252,0,32,0,0,0,0,722,0,5068,0
0442_01,0,0,4524,2,35,0,7,1043,0,0,0,2652,0
0444_01,2,0,1113,2,32,1,2484,429,102,0,0,1449,0
0444_02,0,0,4540,2,26,1,1869,0,136,0,0,1866,0
0445_01,0,0,4270,2,25,0,1352,0,0,24,799,5089,0
0445_02,0,0,1626,2,26,0,0,0,0,77,715,6609,0
0446_01,1,1,326,0,22,0,0,0,0,0,0,3631,1
0447_01,0,0,4281,2,22,0,9,0,795,0,0,3027,1
0448_01,0,0,1656,2,24,0,757,0,0,32,0,2607,0
0448_02,0,1,6122,1,32,0,0,0,0,0,0,414,1
0449_01,0,1,6015,2,11,0,0,0,0,0,0,5884,1
0452_01,2,1,1640,2,22,0,0,0,0,0,0,7399,1
0453_01,1,1,214,2,19,0,0,0,0,0,0,209,1
0453_02,1,1,6156,0,34,0,0,0,0,0,0,5618,1
0453_03,1,1,214,2,74,0,0,0,0,0,0,8258,1
0454_01,1,0,232,0,28,1,5,4288,0,745,5,7439,1
